time_date,sampleID,replicate,treatment,genus,species,site,PAMID,F,Fm,Y,colonyID,collection.depth,bleaching.score,tank,rack,rack.position,size,Region,Sector,Shelf
18/01/2019,1636,2,Ambient,Pocillopora,damicornis,13-123,1320,170,505,0.663,13-123_28,6.1,5,5,23,6,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1638,1,Ambient,Pocillopora,damicornis,13-123,1323,152,452,0.664,13-123_11,5.3,5,5,23,8,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1638,2,Ambient,Pocillopora,damicornis,13-123,1324,122,358,0.659,13-123_11,5.3,5,5,23,8,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1640,1,Ambient,Pocillopora,damicornis,13-123,1327,171,519,0.671,13-123_7,4.3,5,5,23,10,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1640,2,Ambient,Pocillopora,damicornis,13-123,1328,178,561,0.683,13-123_7,4.3,5,5,23,10,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1560,1,Ambient,Pocillopora,damicornis,13-123,1331,119,368,0.677,13-123_25,7.5,5,5,2,2,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1560,2,Ambient,Pocillopora,damicornis,13-123,1332,143,441,0.676,13-123_25,7.5,5,5,2,2,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1562,1,Ambient,Pocillopora,damicornis,13-123,1335,190,649,0.707,13-123_6,4.7,5,5,2,4,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1562,2,Ambient,Pocillopora,damicornis,13-123,1336,155,448,0.654,13-123_6,4.7,5,5,2,4,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1564,1,Ambient,Pocillopora,damicornis,13-123,1339,149,446,0.666,13-123_9,6.2,5,5,2,6,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1564,2,Ambient,Pocillopora,damicornis,13-123,1340,169,448,0.623,13-123_9,6.2,5,5,2,6,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1566,1,Ambient,Pocillopora,damicornis,13-123,1343,240,791,0.697,13-123_21,5.6,5,5,2,8,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1566,2,Ambient,Pocillopora,damicornis,13-123,1344,233,753,0.691,13-123_21,5.6,5,5,2,8,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1576,1,Ambient,Pocillopora,damicornis,13-123,1350,104,327,0.682,13-123_27,7.1,5,6,5,2,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1576,2,Ambient,Pocillopora,damicornis,13-123,1351,190,503,0.622,13-123_27,7.1,5,6,5,2,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1578,1,Ambient,Pocillopora,damicornis,13-123,1356,232,649,0.643,13-123_26,8.3,5,6,5,4,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1578,2,Ambient,Pocillopora,damicornis,13-123,1357,196,609,0.678,13-123_26,8.3,5,6,5,4,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1580,1,Ambient,Pocillopora,damicornis,13-123,1360,217,631,0.656,13-123_28,6.1,5,6,5,6,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1580,2,Ambient,Pocillopora,damicornis,13-123,1361,164,548,0.701,13-123_28,6.1,5,6,5,6,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1582,1,Ambient,Pocillopora,damicornis,13-123,1364,170,546,0.689,13-123_11,5.3,5,6,5,8,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1582,2,Ambient,Pocillopora,damicornis,13-123,1365,69,196,0.648,13-123_11,5.3,5,6,5,8,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1584,1,Ambient,Pocillopora,damicornis,13-123,1368,103,302,0.659,13-123_7,4.3,5,6,5,10,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1584,2,Ambient,Pocillopora,damicornis,13-123,1369,198,571,0.653,13-123_7,4.3,5,6,5,10,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1624,1,Ambient,Pocillopora,damicornis,13-123,1374,214,803,0.733,13-123_25,7.5,5,6,21,2,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1624,2,Ambient,Pocillopora,damicornis,13-123,1375,248,792,0.687,13-123_25,7.5,5,6,21,2,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1626,1,Ambient,Pocillopora,damicornis,13-123,1378,246,790,0.689,13-123_6,4.7,5,6,21,4,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1626,2,Ambient,Pocillopora,damicornis,13-123,1379,225,688,0.673,13-123_6,4.7,5,6,21,4,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1628,1,Ambient,Pocillopora,damicornis,13-123,1382,184,497,0.63,13-123_9,6.2,5,6,21,6,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1628,2,Ambient,Pocillopora,damicornis,13-123,1383,217,583,0.628,13-123_9,6.2,5,6,21,6,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1630,1,Ambient,Pocillopora,damicornis,13-123,1386,218,738,0.705,13-123_21,5.6,5,6,21,8,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1630,2,Ambient,Pocillopora,damicornis,13-123,1387,276,950,0.709,13-123_21,5.6,5,6,21,8,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1596,1,Ambient,Pocillopora,damicornis,13-123,1393,148,480,0.692,13-123_25,7.5,5,7,10,2,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1596,2,Ambient,Pocillopora,damicornis,13-123,1394,128,373,0.657,13-123_25,7.5,5,7,10,2,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1598,1,Ambient,Pocillopora,damicornis,13-123,1397,140,448,0.688,13-123_6,4.7,5,7,10,4,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1598,2,Ambient,Pocillopora,damicornis,13-123,1398,100,257,0.611,13-123_6,4.7,5,7,10,4,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1600,1,Ambient,Pocillopora,damicornis,13-123,1401,135,390,0.654,13-123_9,6.2,5,7,10,6,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1600,2,Ambient,Pocillopora,damicornis,13-123,1402,177,470,0.623,13-123_9,6.2,5,7,10,6,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1602,1,Ambient,Pocillopora,damicornis,13-123,1405,199,665,0.701,13-123_21,5.6,5,7,10,8,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1602,2,Ambient,Pocillopora,damicornis,13-123,1406,139,441,0.685,13-123_21,5.6,5,7,10,8,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1614,1,Ambient,Pocillopora,damicornis,13-123,1412,212,622,0.659,13-123_27,7.1,5,7,19,2,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1614,2,Ambient,Pocillopora,damicornis,13-123,1413,174,504,0.655,13-123_27,7.1,5,7,19,2,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1616,1,Ambient,Pocillopora,damicornis,13-123,1416,230,640,0.641,13-123_26,8.3,5,7,19,4,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1616,2,Ambient,Pocillopora,damicornis,13-123,1417,260,887,0.707,13-123_26,8.3,5,7,19,4,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1618,1,Ambient,Pocillopora,damicornis,13-123,1420,336,1039,0.677,13-123_28,6.1,5,7,19,6,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1620,1,Ambient,Pocillopora,damicornis,13-123,1423,187,573,0.674,13-123_11,5.3,5,7,19,8,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1620,2,Ambient,Pocillopora,damicornis,13-123,1424,254,816,0.689,13-123_11,5.3,5,7,19,8,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1622,1,Ambient,Pocillopora,damicornis,13-123,1427,173,574,0.699,13-123_7,4.3,5,7,19,10,Small,Northern GBR,Princess Charlotte,Mid
18/01/2019,1622,2,Ambient,Pocillopora,damicornis,13-123,1428,175,503,0.652,13-123_7,4.3,5,7,19,10,Small,Northern GBR,Princess Charlotte,Mid
16/01/2019,1346,1,Ambient,Acropora,tenuis,13-123,2587,216,640,0.663,13-123_3,4,4,5,21,8,Small,Northern GBR,Princess Charlotte,Mid
16/01/2019,1346,2,Ambient,Acropora,tenuis,13-123,2588,137,441,0.689,13-123_3,4,4,5,21,8,Small,Northern GBR,Princess Charlotte,Mid
