SampleID,UniqueID,GenotypeID,Reef,BagID,Species,ClipID,RackID,Treatment,Chla_ug_cm2,Colour Change,CatalaseU,Protein_ug_cm2,FvFm
1076,S992,JAN2019_13-124_A. tenuis_191,13-124,191,A. tenuis,3,B48,Ambient,3.907052285,-0.52849,0.057707849,0.071409854,0.657025287
1393,S1357,JAN2019_Creech_A. tenuis_105,Creech,105,A. tenuis,5,3,Ambient,1.895128202,-0.723843098,0.044432903,0.072292864,0.696972543
2245,S2157,JAN2019_11-049_A. tenuis_52,11-049,52,A. tenuis,5,23,Ambient,2.980531805,0.255839,0.073902526,0.073455831,0.658078272
1461,S1425,JAN2019_Creech_A. tenuis_81,Creech,81,A. tenuis,1,31,Ambient,3.292628326,0.168471648,0.018774176,0.07355443,0.663701161
1283,S1249,JAN2019_13-123_A. tenuis_1,13-123,1,A. tenuis,3,2,Ambient,5.651717153,-0.137657765,0.03912217,0.074359139,0.674614199
1087,S1007,JAN2019_13-124_A. tenuis_160,13-124,160,A. tenuis,4,B64,Ambient,5.649337381,-0.2851,0.050471444,0.074487665,0.688486856
1782,S1738,JAN2019_Lagoon_A. tenuis_83,Lagoon,83,A. tenuis,5,62,Ambient,1.657018715,-0.758478,0.038298271,0.074793049,0.681587302
1365,S1331,JAN2019_13-123_A. tenuis_3,13-123,3,A. tenuis,7,26,Ambient,3.855335663,-0.900568031,0.137605976,0.075573317,0.635516657
1416,S1380,JAN2019_Creech_A. tenuis_83,Creech,83,A. tenuis,2,10,Ambient,4.702904527,-0.601295018,0.094270369,0.076909638,0.664103495
1293,S1259,JAN2019_13-123_A. tenuis_22,13-123,22,A. tenuis,3,3,Ambient,5.425927254,-0.15518951,0.061788296,0.077324515,0.653132433
1459,S1423,JAN2019_Creech_A. tenuis_91,Creech,91,A. tenuis,4,28,Ambient,3.625039463,0.419170363,0.070055163,0.077489955,0.674330483
1085,S1005,JAN2019_13-124_A. tenuis_157,13-124,157,A. tenuis,2,B64,Ambient,4.047847766,-0.40937,0.067767429,0.078015304,0.671645623
1323,S1289,JAN2019_13-123_A. tenuis_5,13-123,5,A. tenuis,1,16,Ambient,3.290373962,-0.440894778,0.038573187,0.07892702,0.663210409
1667,S1665,JAN2019_Lagoon_A. tenuis_94,Lagoon,94,A. tenuis,2,14,Ambient,1.883771404,-0.712314,0.061335117,0.079141041,0.689000993
1299,S1265,JAN2019_13-123_A. tenuis_5,13-123,5,A. tenuis,1,5,Ambient,3.796610455,-0.167940129,0.029320428,0.080016936,0.667760129
1287,S1253,JAN2019_13-123_A. tenuis_3,13-123,3,A. tenuis,7,2,Ambient,6.956247971,-0.794831285,0.08856687,0.080290369,0.667752162
1305,S1271,JAN2019_13-123_A. tenuis_24,13-123,24,A. tenuis,7,5,Ambient,4.10922688,-0.436804973,0.018542332,0.080895974,0.659824632
1391,S1355,JAN2019_Creech_A. tenuis_90,Creech,90,A. tenuis,3,3,Ambient,1.665363968,-0.26939842,0.073591881,0.08115252,0.675974026
2226,S2138,JAN2019_11-049_A. tenuis_23,11-049,23,A. tenuis,1,24,Ambient,2.430942767,0.071588,0.103283174,0.081542808,0.677767527
2228,S2140,JAN2019_11-049_A. tenuis_30,11-049,30,A. tenuis,3,24,Ambient,1.22518695,-0.05322,0.224261406,0.082140984,0.656372252
1084,S1004,JAN2019_13-124_A. tenuis_156,13-124,156,A. tenuis,1,B64,Ambient,5.654523808,-0.54998,0.103875066,0.082358552,0.659594486
2238,S2150,JAN2019_11-049_A. tenuis_38,11-049,38,A. tenuis,3,9,Ambient,3.837519317,0.071409,0.047804672,0.082795254,0.664192387
1348,S1314,JAN2019_13-123_A. tenuis_4,13-123,4,A. tenuis,10,21,Ambient,3.942284292,0.007225475,0.086797281,0.084488053,0.668540121
2290,S2202,JAN2019_11-049_A. tenuis_80,11-049,80,A. tenuis,5,38,Ambient,7.019350182,-0.03364,0.165577871,0.085028412,0.662997445
