SampleID,GenotypeID,Species,ClipID,RackID,Treatment,Tank,Size,Chla_ug_cm2,Zoox_ug_protein,Zoox_cm2,BeforeColour,AfterColour,ColourChange,CatalaseU,Surface,Protein_ug_cm2
1620,JAN2019_13-123_P. damicornis_11,P. damicornis,8,19,Ambient,7,Small,2.14015601,NA,NA,7.990573574,7.6899536,-0.300619974,0.593496208,11.92771084,0.038129982
1621,JAN2019_13-123_P. damicornis_7,P. damicornis,9,19,Ambient,7,Large,3.243949768,NA,NA,6.900463333,6.601219957,-0.299243376,1.053773197,16.58862876,0.063581044
1622,JAN2019_13-123_P. damicornis_7,P. damicornis,10,19,Ambient,7,Small,2.947631924,NA,NA,8.131810193,7.609300871,-0.522509323,1.230326169,7.951807229,0.032386696
1623,JAN2019_13-123_P. damicornis_25,P. damicornis,1,21,Ambient,6,Large,1.399969727,NA,NA,6.638760185,6.247015276,-0.39174491,0.859416816,10.84337349,0.028236124
1624,JAN2019_13-123_P. damicornis_25,P. damicornis,2,21,Ambient,6,Small,4.511188324,NA,NA,7.247749907,6.729576143,-0.518173764,0.813348592,4.047619048,0.011288909
1625,JAN2019_13-123_P. damicornis_6,P. damicornis,3,21,Ambient,6,Large,3.109600569,NA,NA,7.925440699,7.318805068,-0.606635631,0.863951774,11.80602007,0.040125272
1626,JAN2019_13-123_P. damicornis_6,P. damicornis,4,21,Ambient,6,Small,3.908620793,NA,NA,7.398679235,6.188050675,-1.21062856,3.236787105,4.949832776,0.004531345
1627,JAN2019_13-123_P. damicornis_9,P. damicornis,5,21,Ambient,6,Large,2.351621192,NA,NA,7.384406455,6.896251499,-0.488154956,0.836769929,16.72240803,0.032853236
1628,JAN2019_13-123_P. damicornis_9,P. damicornis,6,21,Ambient,6,Small,1.800766653,NA,NA,6.719177717,6.294040978,-0.425136739,0,7.228915663,0
1629,JAN2019_13-123_P. damicornis_21,P. damicornis,7,21,Ambient,6,Large,2.259275082,NA,NA,7.455610587,7.507585632,0.051975044,0.372133709,14.01337793,0.061357785
1630,JAN2019_13-123_P. damicornis_21,P. damicornis,8,21,Ambient,6,Small,NA,NA,NA,8.706342866,7.602992545,-1.103350322,0.124543091,8.428093645,0.02863266
1631,JAN2019_13-123_P. damicornis_27,P. damicornis,1,23,Ambient,5,Large,3.664551941,NA,NA,8.145390637,7.410510401,-0.734880237,0.263092506,10.73089701,0.057798609
1632,JAN2019_13-123_P. damicornis_27,P. damicornis,2,23,Ambient,5,Small,4.16722293,NA,NA,7.618948714,6.703977895,-0.914970819,76.442925,6.292517007,0.000134336
1633,JAN2019_13-123_P. damicornis_26,P. damicornis,3,23,Ambient,5,Large,1.527621416,NA,NA,7.560100122,7.056827068,-0.503273054,0.29707313,7.993197279,0.042424378
1634,JAN2019_13-123_P. damicornis_26,P. damicornis,4,23,Ambient,5,Small,3.104127204,NA,NA,6.132449273,5.572650018,-0.559799255,0,3.333333333,0
1635,JAN2019_13-123_P. damicornis_28,P. damicornis,5,23,Ambient,5,Large,2.271536071,NA,NA,8.905575971,8.156717585,-0.748858385,0.490373341,22.68707483,0.07789983
1636,JAN2019_13-123_P. damicornis_28,P. damicornis,6,23,Ambient,5,Small,4.07936435,NA,NA,8.653459019,7.441009332,-1.212449687,NA,9.829931973,0.054159024
1637,JAN2019_13-123_P. damicornis_11,P. damicornis,7,23,Ambient,5,Large,2.962916618,NA,NA,7.606060606,7.94657908,0.340518474,0.378316039,19.25170068,0.058553738
1638,JAN2019_13-123_P. damicornis_11,P. damicornis,8,23,Ambient,5,Small,2.867244668,NA,NA,7.173723172,6.520723633,-0.652999539,0.358156172,7.653061224,0.027723866
1639,JAN2019_13-123_P. damicornis_7,P. damicornis,9,23,Ambient,5,Large,1.290735576,NA,NA,7.048783086,6.919086596,-0.12969649,0.580093981,23.02721088,0.070535984
1640,JAN2019_13-123_P. damicornis_7,P. damicornis,10,23,Ambient,5,Small,3.031196599,NA,NA,8.121371891,7.522861165,-0.598510726,0.187420856,4.285714286,0.052794214
1271,JAN2019_13-123_A. tenuis_29,A. tenuis,1,1,High,2,Large,1.872210871,-354332.737,1507692.308,7.630039526,4.024670418,-3.605369108,0,6.895424837,0
1272,JAN2019_13-123_A. tenuis_29,A. tenuis,2,1,High,2,Small,2.866411899,177783.8536,6254295.533,7.888656126,3.5252496,-4.363406526,0.003964758,3.043478261,0.14015146
